temp_index	temp	mean_S	var_S	mean_E	heat_capacity_S	accept_rate	nonnull_rate	runtime_seconds
0	7.0	8770.257873671044	4414.962506798292	-0.3568627064482033	0.021997381750230652	0.8106108958221165	0.6668219848632813	30.829257000994403
1	6.0	8876.827342088805	4549.318632022441	-0.3611990292191083	0.03085204150405844	0.7783478975794345	0.6668360900878906	31.023843397008022
2	5.5	8946.570018761726	4726.67666710409	-0.3640368659977916	0.03814789407205651	0.7577106514557692	0.6668198303222657	31.174493418016937
3	5.0	9033.815772357724	4904.736854422234	-0.36758690479971207	0.047897820843967126	0.7326824985907775	0.6668413208007813	31.212284732988337
4	4.5	9147.653170731708	5318.278646294173	-0.37221896039761176	0.06411890729039078	0.7014841094658768	0.6668119232177734	31.261205646995222
5	4.1499999999999995	9251.0794246404	5727.67631836814	-0.37642738544272464	0.08119369871761341	0.6746315110223693	0.666850146484375	31.475396638998063
6	4.08	9273.67023139462	5881.520958733199	-0.3773466077227629	0.08625998430986415	0.6687381819990791	0.6668295593261718	31.453088876995025
7	4.01	9300.979036898061	6107.377947039917	-0.37845780586336514	0.09272697738829624	0.6621607237044898	0.6668256500244141	31.44193577300757
8	3.9400000000000004	9327.186291432145	6194.586758916936	-0.37952418178027936	0.09742265215147934	0.6557286017386396	0.6668270721435546	31.338508090004325
9	3.87	9356.098911819887	6379.319572299297	-0.3807006393155879	0.10399021609651415	0.6488138141433831	0.6668193481445313	31.301955150993308
10	3.8	9387.762376485303	6604.526999730682	-0.3819890289911012	0.11166435938667754	0.6414096250215409	0.6668203674316406	31.5684940959909
11	3.73	9420.319124452782	6910.139060146488	-0.38331376645722587	0.12125765792761223	0.6339062624040046	0.6668183044433593	31.3228272080014
12	3.66	9457.330318949344	7316.844898147188	-0.38481975581662364	0.13335267449473825	0.625709779834559	0.6667971771240234	31.612749438994797
13	3.59	9496.851657285804	7727.984898754337	-0.3864278831903403	0.1463920254476956	0.6170913185640654	0.6668248474121093	31.731323569983942
14	3.5199999999999996	9540.93832395247	8284.313832087675	-0.3882217742493681	0.16323424237006315	0.6078687347043203	0.6668203552246094	31.914355012995657
15	3.4499999999999997	9591.577335834896	9082.453775266215	-0.3902822809177611	0.18629665542760793	0.5976986989582366	0.6668641448974609	31.917639149993192
16	3.3800000000000003	9647.683327079425	10069.97809224511	-0.392565239545875	0.21519648692071605	0.5869552524478057	0.6668797943115234	31.71410161300446
17	3.31	9714.064677923703	11202.277455290263	-0.3952663036264527	0.24962632865325932	0.5746619364367966	0.6668130218505859	31.74015275700367
18	3.24	9795.43024390244	13080.893889559018	-0.3985770769817073	0.3042197844988968	0.5609292993892278	0.6668373352050782	31.736950046004495
19	3.17	9891.678686679175	15188.387526980638	-0.40249343614417216	0.36900580397648075	0.5454994709947636	0.6667995971679688	31.738788321992615
20	3.1	10011.316672920575	18290.679355534667	-0.407361518266625	0.4646719968298471	0.527625773690871	0.66681123046875	31.707978133985307
21	3.03	10157.057248280174	20920.364965286077	-0.41329171745931703	0.5563192037657579	0.5073859880750512	0.6668235870361328	31.83586538801319
22	2.96	10331.647154471544	23810.857163572757	-0.4203957989286924	0.6634858415929031	0.48481992815005936	0.6668833251953125	31.363166144001298
23	2.8899999999999997	10538.220775484679	28457.215110593126	-0.42880130108580233	0.8318341833622265	0.4597946426748144	0.6668177673339843	31.451781060022768
24	2.82	10861.909205753596	50340.78506472252	-0.44197221703098943	1.5454744138489038	0.4249362081921797	0.6668337188720703	31.140720155002782
25	2.75	11376.572495309569	55240.74950990851	-0.4629139198937813	1.783340312174216	0.3760596870115992	0.6668289184570313	31.2466422689904
26	2.68	11839.810819262038	45337.63621815307	-0.48176313554939937	1.5410947374585828	0.3364902547527384	0.666836474609375	30.99477150401799
27	2.6100000000000003	12261.244465290807	41036.03538368843	-0.4989113145056481	1.4707011532560894	0.3036869956697854	0.6668331237792968	30.97995709400857
28	2.54	12685.007879924953	39459.657949163826	-0.5161542919891339	1.4932273473239313	0.27367951156432185	0.6668111083984375	30.933312420005677
29	2.4699999999999998	13103.768167604752	37872.711519531644	-0.5331936917156882	1.5155579440448388	0.24614498546082914	0.6668303161621094	31.064920556003926
30	2.4	13544.943902439025	35916.945683582715	-0.5511451783219005	1.5223586054307183	0.21936779909724288	0.6668380584716797	30.98704924300546
31	2.33	14015.604252657911	43281.97424082672	-0.5702963969994267	1.946414235368	0.1929751386033439	0.6668144622802734	31.008996345015476
32	2.2600000000000002	14634.39832395247	49127.12313915459	-0.5954751922181181	2.3482509491043073	0.16175875040527105	0.6668431549072266	31.033692517026793
33	2.19	15195.194596622889	38188.770512392	-0.6182940509693559	1.9439607808171127	0.13653964559551027	0.666826123046875	30.98801051499322
34	2.12	15691.642789243277	31608.18163124453	-0.6384945796404328	1.716990303169624	0.11625240513577427	0.6667730255126953	30.844942187017296
35	2.05	16149.171957473422	32306.532206737393	-0.6571114891550057	1.876820217617013	0.09903127466530155	0.6668176330566407	30.790023175999522
36	1.98	16579.74941838649	28290.878447128896	-0.6746317308913774	1.761797965993541	0.08401623505115609	0.6668499328613281	31.04665618701256
37	1.9100000000000001	17040.52535334584	30138.194973217876	-0.6933807516823666	2.0169287456849507	0.06932077617995501	0.6668306274414062	31.26158120299806
38	1.8399999999999999	17544.90075046904	25386.31619080642	-0.7139038391304136	1.8306448196098475	0.055111678961532434	0.6668103637695313	30.922219794010743
39	1.77	17955.453470919325	20962.20948607652	-0.7306092720914439	1.6335430193468194	0.044512032153714944	0.6668771606445313	31.363315537018934
40	1.7000000000000002	18320.34396497811	18196.989755636052	-0.7454567043041224	1.5372402948303052	0.035834366973725135	0.6668398101806641	31.48104526201496
41	1.6300000000000001	18640.23459662289	15362.064289002388	-0.7584730874276892	1.4116090092992672	0.028713774426108254	0.6668250549316406	31.228764355008025
42	1.56	18941.666228893057	13332.89391267058	-0.7707383719438907	1.3375661788700242	0.022536226330460155	0.6668184997558594	31.08994638500735
43	1.49	19251.147542213883	11421.47023879984	-0.7833311988205519	1.2559996768251396	0.016921668214308412	0.6668162048339844	31.362140868994175
44	1.42	19497.63549718574	9600.698757460777	-0.7933608193841855	1.1624283847863508	0.012711661816779978	0.6668246612548828	30.977552355994703
45	1.35	19692.757123202002	6796.996345445106	-0.8013003386719564	0.9105201294374123	0.009529877837931045	0.6667932922363281	31.404591147991596
46	1.28	19861.211232020014	5252.774843197549	-0.8081547539070643	0.7827244465347452	0.006964930439522679	0.6668532043457032	31.320284203015035
47	1.21	20026.096860537837	3348.140136485221	-0.8148639673070409	0.5583068270671998	0.004750711945932154	0.6668190002441406	30.99361707700882
48	1.1400000000000001	20146.07440900563	2517.1837691160326	-0.8197458662518566	0.47287382166192965	0.0032829044329905446	0.6668122253417968	19.418651904008584
49	1.07	20233.461363352097	1785.6426035196346	-0.8233016505270221	0.38077378046109767	0.002215262081125248	0.6668286926269531	24.49321745999623
50	1.0	20313.16866791745	1336.9016949735524	-0.8265449490526305	0.32639201537440243	0.0013221058125637254	0.6668388122558594	18.432741630007513
51	0.8	20437.064565353347	206.85949610563694	-0.8315862860251199	0.07891063541627384	0.00015785551479970735	0.6668201019287109	23.53301767501398
52	0.6	20472.636272670417	19.959659903106513	-0.8330337025012378	0.0135360106764774	1.0964913183926963e-05	0.6668554138183593	18.433431557001313
