temp_index	temp	sweep	S	E	accepted	nonnull	null
0	12.6	1.0	1057978.0	-0.10089664459228516	563863.0	1040418.0	8158.0
0	12.6	2.0	159189.0	-0.015181446075439453	1502345.0	2080808.0	16344.0
0	12.6	3.0	91066.0	-0.008684730529785157	2522968.0	3121302.0	24426.0
0	12.6	4.0	88132.0	-0.008404922485351563	3548837.0	4161798.0	32506.0
0	12.6	5.0	88682.0	-0.008457374572753907	4574849.0	5202188.0	40692.0
0	12.6	6.0	87971.0	-0.008389568328857422	5600571.0	6242476.0	48980.0
0	12.6	7.0	87760.0	-0.00836944580078125	6626399.0	7282919.0	57113.0
0	12.6	8.0	87800.0	-0.008373260498046875	7652178.0	8323219.0	65389.0
0	12.6	9.0	88276.0	-0.008418655395507813	8677895.0	9363547.0	73637.0
0	12.6	10.0	88203.0	-0.008411693572998046	9703865.0	10403780.0	81980.0
0	12.6	11.0	88078.0	-0.008399772644042968	10729841.0	11444207.0	90129.0
0	12.6	12.0	88681.0	-0.008457279205322266	11755378.0	12484505.0	98407.0
0	12.6	13.0	87802.0	-0.008373451232910157	12781260.0	13524946.0	106542.0
0	12.6	14.0	88422.0	-0.008432579040527344	13807026.0	14565361.0	114703.0
0	12.6	15.0	88455.0	-0.008435726165771484	14832815.0	15605686.0	122954.0
0	12.6	16.0	88486.0	-0.008438682556152344	15858499.0	16645890.0	131326.0
0	12.6	17.0	88018.0	-0.00839405059814453	16884497.0	17686194.0	139598.0
0	12.6	18.0	88379.0	-0.008428478240966797	17910240.0	18726517.0	147851.0
0	12.6	19.0	88236.0	-0.008414840698242188	18935998.0	19766858.0	156086.0
0	12.6	20.0	88156.0	-0.008407211303710938	19961821.0	20807162.0	164358.0
0	12.6	21.0	88080.0	-0.00839996337890625	20987644.0	21847692.0	172404.0
0	12.6	22.0	87866.0	-0.008379554748535157	22013355.0	22887917.0	180755.0
0	12.6	23.0	88260.0	-0.008417129516601562	23039173.0	23928280.0	188968.0
0	12.6	24.0	88029.0	-0.008395099639892578	24064924.0	24968572.0	197252.0
0	12.6	25.0	88486.0	-0.008438682556152344	25090607.0	26009029.0	205371.0
