temp_index	temp	mean_S	var_S	mean_E	heat_capacity_S	accept_rate	nonnull_rate	runtime_seconds
0	12.6	11111.92	9414.673600000002	-0.0010597152709960938	5.6554122005971096e-05	0.9902450787876151	0.9990285968780518	125.99080458001117
1	9.9	11324.8	11603.040000000008	-0.00108001708984375	0.0001129019614348983	0.9861037879657581	0.9990251731872558	125.42511178701534
2	7.2	11766.78	10999.4516	-0.0011221675872802733	0.0002023513596734883	0.9760961877856544	0.9990199947357178	127.79956989400671
3	5.3999999999999995	12322.88	16906.0656	-0.001175201416015625	0.0005529108557681489	0.95642643701936	0.9990277481079102	128.92069985202397
4	4.5	12786.06	8716.216400000005	-0.0012193737030029297	0.00041049045515649134	0.9308068555818805	0.9990208625793457	125.43745554497582
5	4.41	12847.14	12599.720400000006	-0.001225198745727539	0.0006178510877350429	0.9269757344123944	0.9990193176269532	129.05883747100597
6	4.32	12893.66	13077.78439999999	-0.001229635238647461	0.0006682927757297191	0.9226562434072487	0.9990234756469727	128.88281664802344
7	4.2299999999999995	12942.34	10259.744399999996	-0.0012342777252197267	0.0005468344833522151	0.9172993556885051	0.9990252208709717	126.76356737501919
8	4.140000000000001	13034.5	9769.929999999993	-0.0012430667877197266	0.0005436142800349427	0.9122309605553118	0.9990267753601074	125.12334115197882
9	4.05	13101.88	12459.265599999999	-0.001249492645263672	0.0007244067431186653	0.9062700017770077	0.999019193649292	127.62762192400987
10	3.96	13151.24	10869.582399999985	-0.0012541999816894531	0.0006610321373419416	0.8991974254779231	0.9990227890014648	125.78225509097683
11	3.87	13236.9	16683.449999999983	-0.001262369155883789	0.0010623411903696916	0.8916865743075845	0.9990295505523682	124.5816454940068
12	3.78	13331.98	10726.0196	-0.0012714366912841798	0.0007159044686451975	0.8833998549779811	0.999022741317749	123.71804454000085
13	3.69	13435.06	14053.616400000014	-0.0012812671661376954	0.0009843180509327692	0.8736850336959757	0.9990266418457031	122.9497184039792
14	3.6	13518.04	16997.238399999987	-0.0012891807556152345	0.0012507584654254669	0.862827917082563	0.9990279579162598	123.68651583101018
15	3.5100000000000002	13591.18	14199.827600000004	-0.0012961559295654296	0.001099180272848159	0.8495809558029942	0.999022102355957	124.18036783899879
16	3.42	13700.08	8958.2736	-0.0013065414428710938	0.0007304192274255461	0.8350809267386545	0.9990261840820313	125.38075540200225
17	3.33	13775.56	14472.766400000008	-0.0013137397766113282	0.0012446956508785677	0.8187146314357032	0.9990241718292237	124.7824462139979
18	3.2399999999999998	13940.24	15215.662399999987	-0.0013294448852539064	0.0013822956140439977	0.7988690050078673	0.999025068283081	127.31741968001006
19	3.15	14070.38	12855.035600000003	-0.0013418560028076172	0.0012355270635634177	0.774896069053686	0.9990227890014648	125.03689814600511
20	3.06	14180.56	9972.766400000008	-0.0013523635864257813	0.001015717371438253	0.7489749505979154	0.9990233898162841	128.04583311002352
21	2.97	14320.12	16667.385599999994	-0.0013656730651855468	0.0018019995202711023	0.715737665184497	0.9990235805511475	128.90016713700606
22	2.88	14447.08	16656.113599999997	-0.0013777809143066407	0.0019150882223506031	0.6746601122461505	0.9990210628509522	128.6618305609736
23	2.79	14642.52	18304.689600000012	-0.0013964195251464843	0.002242611521088964	0.6258140074456131	0.999027681350708	129.92646580797737
24	2.6999999999999997	14824.0	15884.240000000005	-0.001413726806640625	0.0020779686863693857	0.5673525995510067	0.9990238571166992	116.97679630000493
25	2.61	50838.62	22816934800.6756	-0.004848348617553711	3194.304942458314	0.49415774518991434	0.999024953842163	117.09307777698268
26	2.5200000000000005	512110.74	972154529023.4724	-0.04883868598937988	145993.7651026234	0.40209518171552827	0.9990280818939209	116.58979879299295
27	2.43	1446525.96	2732942631272.5186	-0.13795146560668944	441385.4926681767	0.2811425411727811	0.9990210247039795	118.94709745200817
28	2.34	2813863.8	2874330664493.48	-0.2683509635925293	500616.4313657576	0.12507385307083102	0.9990243148803711	120.08871743502095
29	2.25	4303331.74	276734549796.8724	-0.41039769554138184	52131.285452547876	0.008869929547687843	0.9990253257751465	121.94466467498569
30	2.16	4793347.18	36500723349.5476	-0.4571292095184326	7460.948728719447	0.001978036708380204	0.9990203952789307	123.60679641700699
31	2.0700000000000003	5017776.8	6329586489.6399975	-0.47853248596191406	1408.7526123460661	0.000600750642376098	0.9990273475646972	123.39249809097964
32	1.98	5121856.22	1397164802.411602	-0.48845827293395994	339.8735302129267	0.00023218893105353834	0.9990235233306884	122.34434324601898
33	1.89	5179777.88	308590247.3055992	-0.4939821128845215	82.38699732616752	9.348463901230734e-05	0.9990232276916504	121.2147769650037
34	1.8	5208542.12	81750898.38560104	-0.496725284576416	24.062880288112616	4.3215135022811236e-05	0.9990212059020996	123.6774969320104
35	1.71	5225656.86	16069838.160398483	-0.4983574733734131	5.24106286460008	1.8452503380397433e-05	0.9990256690979004	123.28881126601482
36	1.6199999999999999	5235126.6	3235905.640001297	-0.49926057815551755	1.1758878597711349	7.5031738138852055e-06	0.9990279197692871	48.507977667002706
37	1.6199999999999999	5234474.32	3469030.857597351	-0.499198371887207	1.2606026641180237	8.219168823808684e-06	0.9990226554870606	47.64841802199953
38	1.2600000000000002	5242671.04	1033.7983989715576	-0.49998007202148437	0.0006210046494337841	1.9092097634734437e-07	0.999025182723999	47.697783827985404
39	0.9	5242880.0	0.0	-0.5	0.0	0.0	0.9990223026275635	46.402794099005405
40	0.54	5242880.0	0.0	-0.5	0.0	0.0	0.9990198040008544	44.09120156100835
41	0.18	5242880.0	0.0	-0.5	0.0	0.0	0.9990267181396484	41.72773842900642
