temp_index	temp	sweep	S	E	accepted	nonnull	null
0	6.8750000000000009	1	1789063	-0.0088863720496495571	16179187	16646065	131151
0	6.8750000000000009	2	1796053	-0.0089210917552312221	32337852	33292060	262372
0	6.8750000000000009	3	1797098	-0.0089262823263804112	48494860	49938888	392760
0	6.8750000000000009	4	1799347	-0.0089374532302220668	64651022	66585232	523632
0	6.8750000000000009	5	1798382	-0.008932660023371378	80807717	83231067	655013
0	6.8750000000000009	6	1798551	-0.0089334994554519653	96964039	99876726	786570
0	6.8750000000000009	7	1798588	-0.0089336832364400234	113120073	116522878	917634
0	6.8750000000000009	8	1798475	-0.0089331219593683873	129278587	133169219	1048509
0	6.8750000000000009	9	1797749	-0.0089295158783594761	145433891	149815548	1179396
0	6.8750000000000009	10	1800045	-0.0089409202337265015	161589642	166461410	1310750
0	6.8750000000000009	11	1798774	-0.0089346071084340419	177746949	183107526	1441850
0	6.8750000000000009	12	1796530	-0.0089234610398610439	193904179	199753533	1573059
0	6.8750000000000009	13	1794701	-0.0089143762985865269	210062202	216400319	1703489
0	6.8750000000000009	14	1798633	-0.0089339067538579311	226218531	233046825	1834199
0	6.8750000000000009	15	1798099	-0.0089312543471654262	242374372	249693056	1965184
0	6.8750000000000009	16	1798438	-0.008932938178380331	258532402	266339623	2095833
0	6.8750000000000009	17	1798514	-0.0089333156744639073	274688185	282985646	2227026
0	6.8750000000000009	18	1798490	-0.0089331964651743565	290845706	299631806	2358082
0	6.8750000000000009	19	1795064	-0.0089161793390909825	307000544	316277497	2489607
0	6.8750000000000009	20	1797875	-0.0089301417271296177	323157240	332923906	2620414
0	6.8750000000000009	21	1797886	-0.008930196364720663	339311819	349569861	2751675
0	6.8750000000000009	22	1798999	-0.0089357246955235805	355470277	366215984	2882768
0	6.8750000000000009	23	1800053	-0.0089409599701563511	371626808	382861765	3014203
0	6.8750000000000009	24	1796642	-0.0089240173498789464	387783439	399507974	3145210
0	6.8750000000000009	25	1796736	-0.0089244842529296875	403940260	416153833	3276567
0	6.8750000000000009	26	1797116	-0.0089263717333475743	420096681	432799529	3408087
0	6.8750000000000009	27	1798690	-0.0089341898759206142	436253890	449445962	3538870
0	6.8750000000000009	28	1797071	-0.0089261482159296666	452410847	466092586	3669462
0	6.8750000000000009	29	1798309	-0.0089322974284489955	468567223	482738820	3800444
0	6.8750000000000009	30	1798568	-0.0089335838953653966	484724355	499384890	3931590
0	6.8750000000000009	31	1798241	-0.0089319596687952672	500881685	516030916	4062780
0	6.8750000000000009	32	1797056	-0.0089260737101236973	517038917	532677225	4193687
0	6.8750000000000009	33	1796709	-0.0089243501424789429	533195103	549323379	4324749
0	6.8750000000000009	34	1798513	-0.0089333107074101772	549352859	565969824	4455520
0	6.8750000000000009	35	1798732	-0.0089343984921773281	565510064	582616167	4586393
0	6.8750000000000009	36	1800541	-0.0089433838923772182	581666599	599262003	4717773
0	6.8750000000000009	37	1801355	-0.008947427074114481	597821873	615907735	4849257
0	6.8750000000000009	38	1799559	-0.0089385062456130981	613978926	632554009	4980199
0	6.8750000000000009	39	1799090	-0.008936176697413126	630136292	649200611	5110813
0	6.8750000000000009	40	1798340	-0.0089324514071146641	646293166	665847574	5241066
0	6.8750000000000009	41	1798861	-0.0089350392421086635	662449485	682493555	5372301
0	6.8750000000000009	42	1797134	-0.0089264611403147374	678606451	699140269	5502803
0	6.8750000000000009	43	1796758	-0.0089245935281117763	694764169	715786646	5633642
0	6.8750000000000009	44	1798122	-0.0089313685894012451	710920711	732432783	5764721
0	6.8750000000000009	45	1797444	-0.0089280009269714355	727078747	749079433	5895287
0	6.8750000000000009	46	1796827	-0.0089249362548192348	743234172	765725286	6026650
0	6.8750000000000009	47	1798692	-0.0089341998100280762	759391181	782371566	6157586
0	6.8750000000000009	48	1798020	-0.0089308619499206543	775547590	799017770	6288598
