temp_index	temp	mean_S	var_S	mean_E	heat_capacity_S	accept_rate	nonnull_rate	runtime_seconds
0	9.799999999999999	183538.2670967742	95509.42930447496	-0.3500714628158077	0.015174492245280507	0.8428658705412969	0.6667657279968262	12.536525037983665
1	8.4	185097.51032258064	90892.66408699006	-0.3530454832507718	0.019655782151814773	0.8159837614958327	0.6666515636444091	12.594308589992579
2	7.700000000000001	186123.30967741934	99569.55313215032	-0.3550020402477634	0.02562507688127623	0.7988551399536422	0.6667239952087403	12.544809804006945
3	7.0	187377.34064516128	98012.92008990422	-0.35739391449959046	0.030521601490847285	0.7778260074054674	0.6667005443572998	12.419743840000592
4	6.3	188958.20838709676	97383.5649619177	-0.3604091804258285	0.03743903441441593	0.7518674112713305	0.666673002243042	12.464916558994446
5	5.81	190375.9070967742	107846.35911092535	-0.3631132261214718	0.04874985098492525	0.7294441281965274	0.6666298580169677	12.489652806980303
6	5.712	190687.98387096773	104873.5216753371	-0.36370846533006235	0.04904666969378103	0.7244832572441913	0.6667042827606201	12.67627944398555
7	5.614000000000001	191064.88774193547	116672.2777207084	-0.36442735241305446	0.05648627411006135	0.7191826385547417	0.666639757156372	12.471628030994907
8	5.516	191390.71483870968	115748.3277152963	-0.36504881828061997	0.0580478688191156	0.7136729162692582	0.6666759967803955	12.644380388985155
9	5.418	191753.81806451612	115313.03786722198	-0.3657413827219317	0.05994051659187853	0.7081019313020164	0.6666903877258301	12.661837904015556
10	5.32	192168.1264516129	112596.52078418434	-0.3665316132576235	0.06070462433635542	0.7019755064707454	0.6667095756530762	12.703439588978654
11	5.2219999999999995	192596.71096774194	124963.92291196436	-0.3673490733485068	0.06992476003903056	0.6957469968009093	0.6667243576049805	12.572984409023775
12	5.124	193056.6464516129	126661.77306805924	-0.36822633066485005	0.07361179202033746	0.6889869413924399	0.6667368984222413	12.721450072014704
13	5.026	193568.04967741936	141261.794306349	-0.3692017549084079	0.08532962149986972	0.6817692344733856	0.6666251945495606	12.577753543009749
14	4.928	194102.6935483871	135955.8628616035	-0.3702215071647398	0.08542335249407151	0.6739956645940556	0.6667264080047608	12.576412182010245
15	4.83	194741.6793548387	159879.80750926211	-0.37144027586906186	0.10457296564076891	0.6655297797553676	0.6667352676391601	13.009553759009577
16	4.732	195558.4270967742	208920.76210447773	-0.3729980985579952	0.1423679392857397	0.6556933583023341	0.6667151737213135	12.640271168987965
17	4.634	196645.99741935483	329729.766444955	-0.37507247432585683	0.23429669660359548	0.6436842400632333	0.6666526699066162	12.787529209977947
18	4.5360000000000005	199046.09612903226	800438.7204366289	-0.37965029931837513	0.5936111729619795	0.6229808741850859	0.6667617225646972	12.742051960987737
19	4.438	203124.58774193548	1864216.6952045783	-0.38742940472018333	1.444248305323576	0.5931150534333911	0.6667256069183349	12.789810706017306
20	4.34	210800.5270967742	1686238.1563625373	-0.4020700971541866	1.3660277526107398	0.5441686838820242	0.6666891670227051	12.688469941000221
21	4.242	219876.03935483872	1583933.6132899038	-0.4193802630516791	1.343122783869289	0.4929252624863225	0.666726655960083	12.765880323015153
22	4.144	227374.3477419355	1622453.345527161	-0.4336821513022146	1.441626620425911	0.45467921597900923	0.6666885662078857	12.607151041011093
23	4.045999999999999	235242.06258064517	1768635.2599546313	-0.44868862644318613	1.6485669594612269	0.41861744832834674	0.6666453742980957	12.534174814994913
