Time,CLN2,CLB2T,CKIT,CDC20T,CDH1A,CLN3,CLB5T
0.0,0.196030848449198,0.174664621792243,0.0217532075793431,0.599316579065192,0.786839982382206,0.0840482413806777,0.0380991441945013
0.00011507420377486,0.196029368912693,0.174645084921565,0.0217542592611566,0.599299450559242,0.7868645091381,0.0840473019201972,0.0380978657535278
0.00023014840754972,0.196027889225687,0.174625547176594,0.0217553109365758,0.59928231515025,0.786889033140339,0.0840463624816298,0.0380965873812759
0.00034522261132458,0.19602640938503,0.174606008542894,0.0217563626054626,0.599265172701262,0.78691355433118,0.084045423065437,0.0380953090792155
0.00114983190986195,0.196016058100131,0.174469369391819,0.0217637157949269,0.59914512404701,0.787084933613265,0.0840388551800183,0.0380863729538034
0.00195444120839933,0.196005699388215,0.174332688849401,0.021771068666895,0.599024738163772,0.787256176955117,0.0840322883772582,0.0380774402336578
0.0027590505069367,0.195995333183464,0.174195967850237,0.0217784212170918,0.598904014602404,0.787427283113447,0.0840257226677148,0.0380685109594303
0.00356365980547408,0.195984959468319,0.174059207670621,0.0217857734432229,0.59878295524755,0.787598251725825,0.0840191580549711,0.0380595851502327
0.0116097527908478,0.195880811906791,0.172689963342132,0.0218592774561844,0.597554992238477,0.789300406586204,0.0839535722346917,0.0379705202482583
0.0196558457762216,0.195775922252697,0.171318412429595,0.0219327477779114,0.596296936045458,0.790988923333847,0.083888095959929,0.0378818095668884
0.0277019387615953,0.195670298292048,0.169945868207514,0.0220061834272991,0.595011663045085,0.792663904823316,0.0838227290680762,0.0377934587513038
0.0357480317469691,0.195563948170247,0.168573652921234,0.0220795834633928,0.593702096141512,0.794325458428471,0.0837574713842868,0.0377054730009654
0.0758411992069206,0.195023463508605,0.161777423384384,0.0224447767297012,0.58689783382266,0.802408290762485,0.0834339183819323,0.0372725952396768
0.0853353636730837,0.194892972463449,0.160188418499351,0.0225311131778231,0.585241575361783,0.804275293094967,0.0833576943005694,0.037171478218258
0.0948295281392467,0.194761549868472,0.158609514107522,0.0226173939528839,0.58357376969932,0.806124631880578,0.0832816205317437,0.0370708949565674
0.0985507249869394,0.19470978802964,0.157993606580947,0.0226511960542371,0.582917403563482,0.806844691139497,0.0832518446862162,0.0370316172802131
0.102271921834632,0.194657885824547,0.157379442387271,0.0226849894908465,0.582259748465062,0.80756207477151,0.083222091870821,0.0369924217015552
0.105993118682325,0.194605844017988,0.15676707462002,0.0227187742284778,0.581600937747643,0.808276793515514,0.0831923620684849,0.0369533082737447
0.109714315530018,0.194553663371968,0.156156548457783,0.0227525502402568,0.580941089427341,0.808988857732193,0.083162655262112,0.0369142769909973
0.11343551237771,0.194501344646335,0.155547904168277,0.0227863175025949,0.580280311512645,0.809698277626113,0.0831329714346096,0.0368753278221976
0.120266479956405,0.194404946770124,0.154435643847903,0.0228482809145246,0.579065246735157,0.810993704447104,0.0830785408503897,0.0368040427800419
0.1270974475351,0.194308090823051,0.153330058993891,0.0229102146397352,0.577847973053396,0.812280315998012,0.0830241875364435,0.0367330339891004
0.133928415113795,0.19421078145441,0.152231330215112,0.0229721185646037,0.576629013040931,0.813558172591023,0.0829699113874201,0.0366623010273321
0.140759382692491,0.194113023291556,0.15113961297217,0.0230339925885583,0.575408836069301,0.81482733371331,0.0829157122981163,0.0365918433795214
0.147590350271186,0.194014820939982,0.150055038770501,0.0230958366239711,0.574187860944317,0.816087858397676,0.0828615901634676,0.0365216604378763
0.154421317849881,0.193916178983462,0.148977717265554,0.023157650594853,0.572966460168889,0.817339805358776,0.0828075448785497,0.0364517515125395
0.165854886563006,0.193750102375674,0.147190969308914,0.0232610464252612,0.570922009706203,0.819416260162509,0.0827172563873455,0.0363353500391882
0.177288455276131,0.193582828217398,0.145425105308099,0.0233643575894017,0.568878608363733,0.821469117755957,0.0826271824110072,0.0362197101860855
0.188722023989257,0.193414377610215,0.14368034279695,0.0234675838840577,0.566837366338434,0.823498645806306,0.0825373224601719,0.0361048276919215
0.200155592702382,0.193244771485641,0.141956802363137,0.0235707251572305,0.56479918365122,0.825505108829864,0.082447676046638,0.0359906979687611
0.211589161415507,0.193074030611637,0.140254528461817,0.023673781297004,0.562764793289531,0.827488768334791,0.0823582426833339,0.0358773161880111
0.256072509584343,0.192399332322486,0.133832364356882,0.0240739198250011,0.554894003000113,0.834994178750431,0.0820123118175573,0.0354432134749491
0.300555857753178,0.191708956601647,0.127724642251032,0.0244727669025621,0.547110258475064,0.842173072350325,0.0816695700476651,0.0350200493332806
0.345039205922013,0.191004062511829,0.121920606987614,0.0248703235344382,0.539425443662713,0.849039674335348,0.0813299891513024,0.0346075076311739
0.389522554090849,0.190285774300124,0.116406772602099,0.0252665928107737,0.531843950170834,0.855607569202704,0.0809935411666231,0.0342052701921083
0.434005902259684,0.189555183160938,0.111168879010704,0.0256615786728319,0.524366747443383,0.861889738026368,0.080660198385682,0.0338130260137805
0.507398633089966,0.188325678537582,0.103093230716963,0.026310468288481,0.512256594863418,0.871662514126488,0.0801169339646453,0.0331869257052182
0.580791363920248,0.187070127757286,0.0956710714539278,0.0269558945037652,0.500425608868889,0.880743689164592,0.079581925827098,0.0325859383651702
0.654184094750529,0.185792886408205,0.0888469052161641,0.0275978767473432,0.48886853409438,0.889182344144991,0.0790550537745614,0.0320088564255415
0.727576825580811,0.184498070408679,0.0825698719681289,0.0282364346617304,0.477579371630654,0.89702393960817,0.0785361994250975,0.0314545473996537
0.766179568709183,0.183811312901108,0.0794717287343323,0.028570932590695,0.471747019013064,0.900923409000842,0.0782664730034898,0.0311717671105
