temp_index	temp	mean_S	var_S	mean_E	heat_capacity_S	accept_rate	nonnull_rate	runtime_seconds
0	0.013427734375	4264279.775	544989808331.07438	-0.021180906767646472	180161920.10944608	0.45325634822591493	0.99975620309511826	647.7071307490005
1	0.0085937500000000007	6829658.1	115745027979.84	-0.033923278748989105	93415085.856663212	0.1684511335621201	0.99975550174713135	659.88693021899962
2	0.0069824218750000003	8240236.9	47994489692.989998	-0.04092969944079717	58675839.519035153	0.1019372219037197	0.99975528120994572	659.73545755799933
3	0.0059082031250000007	9219797.9	26401332229.940002	-0.045795231560866038	45081162.881531313	0.072742052504654875	0.99975728591283164	646.56227730299906
4	0.00537109375	9973392.875	16821748521.009377	-0.04953837829331557	34755678.762416065	0.056593991608618943	0.99975556532541909	651.35067088399956
5	0.0048339843750000002	10589570.45	11880228101.547501	-0.052598965416351954	30303612.135362461	0.046417589853605022	0.99975566069285071	665.53274435300045
6	0.0037597656249999997	11115186.675	8824639545.3693771	-0.055209729447960853	37209645.578383282	0.039437858446150317	0.99975553353627522	653.33586976100014
7	0.002685546875	11574390.675	6904158387.769371	-0.057490620389580727	57059160.229498938	0.034401589513827081	0.99975587824980416	648.84412175199941
8	0.0021484375000000002	11984768.85	5640470239.4774933	-0.0595289908349514	72836650.819699019	0.030607768516974113	0.99975516299406686	627.55004620900036
