temp_index	temp	sweep	S	E	accepted	nonnull	null
0	13.750000000000002	1	69358677	-0.34450827538967133	9759629	11181005	5596211
0	13.750000000000002	2	69477414	-0.34509804844856262	19425364	22361198	11193234
0	13.750000000000002	3	69502163	-0.34522097806135815	29085079	33543540	16788108
0	13.750000000000002	4	69496541	-0.34519305328528088	38747051	44730272	22378592
0	13.750000000000002	5	69489121	-0.34515619774659473	48405880	55914869	27971211
0	13.750000000000002	6	69482194	-0.34512179096539813	58066622	67098962	33564334
0	13.750000000000002	7	69491282	-0.34516693154970807	67729510	78283564	39156948
0	13.750000000000002	8	69480254	-0.34511215488115948	77392258	89467896	44749832
0	13.750000000000002	9	69488353	-0.3451523830493291	87054739	100653521	50341423
0	13.750000000000002	10	69494858	-0.34518469373385113	96713431	111835772	55936388
0	13.750000000000002	11	69489480	-0.34515798091888428	106373000	123020048	61529328
0	13.750000000000002	12	69496505	-0.34519287447134656	116035416	134205866	67120726
0	13.750000000000002	13	69488349	-0.3451523631811142	125696685	145390005	72713803
0	13.750000000000002	14	69491639	-0.34516870478789013	135361255	156577009	78304015
0	13.750000000000002	15	69488684	-0.34515402714411419	145021647	167758577	83899663
0	13.750000000000002	16	69487339	-0.34514734645684558	154683670	178941496	89493960
0	13.750000000000002	17	69495881	-0.34518977502981824	164345230	190125539	95087133
0	13.750000000000002	18	69493023	-0.34517557919025421	174008445	201313603	100676285
0	13.750000000000002	19	69495740	-0.34518907467524212	183672246	212501707	106265397
0	13.750000000000002	20	69494018	-0.34518052140871686	193333780	223687561	111856759
0	13.750000000000002	21	69490592	-0.34516350428263348	202996286	234871095	117450441
0	13.750000000000002	22	69485035	-0.34513590236504871	212659617	246058697	123040055
0	13.750000000000002	23	69494718	-0.34518399834632874	222322414	257246694	128629274
0	13.750000000000002	24	69497444	-0.34519753853480023	231982694	268431515	134221669
0	13.750000000000002	25	69490761	-0.34516434371471405	241643850	279617237	139813163
0	13.750000000000002	26	69493578	-0.34517833590507507	251303098	290800492	145407124
0	13.750000000000002	27	69499209	-0.34520630538463593	260964375	301983782	151001050
0	13.750000000000002	28	69499239	-0.34520645439624786	270626440	313171212	156590836
0	13.750000000000002	29	69487939	-0.34515032668908435	280285632	324353827	162185437
0	13.750000000000002	30	69491781	-0.34516941010951996	289946761	335538801	167777679
0	13.750000000000002	31	69486255	-0.34514196217060089	299611072	346725468	173368228
0	13.750000000000002	32	69497089	-0.34519577523072559	309276417	357913821	178957091
0	13.750000000000002	33	69490372	-0.34516241153081256	318939616	369100736	184547392
0	13.750000000000002	34	69493553	-0.34517821172873181	328599682	380284329	190141015
0	13.750000000000002	35	69491177	-0.34516641000906628	338261208	391466972	195735588
0	13.750000000000002	36	69494365	-0.34518224497636157	347920789	402650672	201329104
0	13.750000000000002	37	69497119	-0.34519592424233753	357578399	413832231	206924761
0	13.750000000000002	38	69488467	-0.34515294929345447	367236721	425014554	212519654
0	13.750000000000002	39	69496912	-0.34519489606221515	376897914	436200303	218111121
0	13.750000000000002	40	69492397	-0.34517246981461841	386557509	447383627	223705013
0	13.750000000000002	41	69487020	-0.34514576196670532	396220867	458569732	229296124
0	13.750000000000002	42	69487171	-0.34514651199181873	405882041	469754454	234888618
0	13.750000000000002	43	69485438	-0.34513790408770245	415545930	480939249	240481039
0	13.750000000000002	44	69495059	-0.34518569211165112	425208794	492124532	246072972
0	13.750000000000002	45	69488159	-0.34515141944090527	434871687	503310190	251664530
0	13.750000000000002	46	69508765	-0.34525377055009204	444535046	514497358	257254578
0	13.750000000000002	47	69495197	-0.34518637756506604	454197024	525683772	262845380
0	13.750000000000002	48	69499316	-0.34520683685938519	463859809	536867982	268438386
0	13.750000000000002	49	69491382	-0.34516742825508118	473521087	548051077	274032507
0	13.750000000000002	50	69493808	-0.34517947832743329	483183252	559237472	279623328
0	13.750000000000002	51	69488704	-0.34515412648518878	492846398	570422229	285215787
0	13.750000000000002	52	69488534	-0.3451532820860545	502512450	581610790	290804442
0	13.750000000000002	53	69500188	-0.34521116813023883	512173253	592795045	296397403
0	13.750000000000002	54	69492995	-0.34517544011274975	521836874	603980824	301988840
0	13.750000000000002	55	69491736	-0.34516918659210205	531497352	615164839	307582041
0	13.750000000000002	56	69500334	-0.34521189332008362	541157439	626348477	313175619
0	13.750000000000002	57	69484643	-0.34513395527998608	550818577	637530727	318770585
0	13.750000000000002	58	69486848	-0.34514490763346356	560479617	648715616	324362912
0	13.750000000000002	59	69486170	-0.34514153997103375	570144096	659901211	329954533
0	13.750000000000002	60	69496474	-0.34519272049268085	579805313	671085701	335547259
1	8.8000000000000025	1	70764650	-0.35149181882540387	8900485	11187208	5590008
1	8.8000000000000025	2	70918607	-0.35225653151671094	17706592	22372966	11181466
1	8.8000000000000025	3	70941672	-0.35237109661102295	26501592	33558731	16772917
1	8.8000000000000025	4	70947820	-0.35240163405736286	35290092	44743261	22365603
1	8.8000000000000025	5	70935914	-0.35234249631563824	44080928	55928036	27958044
1	8.8000000000000025	6	70948761	-0.35240630805492401	52872697	67113876	33549420
