temp_index	temp	path	dtype
0	3	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T000.bin	uint16
1	2.9500000000000002	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T001.bin	uint16
2	2.8999999999999999	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T002.bin	uint16
3	2.8500000000000001	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T003.bin	uint16
4	2.7999999999999998	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T004.bin	uint16
5	2.75	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T005.bin	uint16
6	2.7000000000000002	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T006.bin	uint16
7	2.6499999999999999	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T007.bin	uint16
8	2.6000000000000001	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T008.bin	uint16
9	2.5499999999999998	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T009.bin	uint16
10	2.5	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T010.bin	uint16
11	2.4500000000000002	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T011.bin	uint16
12	2.3999999999999999	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T012.bin	uint16
13	2.3500000000000001	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T013.bin	uint16
14	2.2999999999999998	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T014.bin	uint16
15	2.25	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T015.bin	uint16
16	2.2000000000000002	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T016.bin	uint16
17	2.1499999999999999	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T017.bin	uint16
18	2.1000000000000001	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T018.bin	uint16
19	2.0499999999999998	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T019.bin	uint16
20	2	/home/gijs/Documents/VaihbavCrystals/runs/d24_uniform_ordered/omega_T020.bin	uint16
