temp_index	temp	mean_S	var_S	mean_E	heat_capacity_S	accept_rate	nonnull_rate	runtime_seconds
0	5.6	184.09456909484913	175.73876130373566	-0.03595597052633772	0.005472572834364775	0.9273119386115543	0.9696976106770834	31.420097310008714
1	4.4	192.88440740123355	184.03387289020026	-0.03767273582055342	0.00928308775797191	0.9061381679395668	0.9696968489583333	31.162387674994534
2	3.2	209.2283647274546	198.39802458042612	-0.040864914985830975	0.018920710046808824	0.8679318050169889	0.9696854427083333	31.227641607023543
3	2.4	230.90528421403567	219.6615806785156	-0.045098688323053845	0.03724188583009773	0.8190752441096868	0.9697062174479166	31.481213163002394
4	2.0	249.90038673112184	236.71074064057072	-0.048808669283422236	0.057790708164201836	0.7784001168214495	0.9696956380208334	32.32057784500648
5	1.96	252.32472745457576	238.87219502073484	-0.04928217333097183	0.06072303934556861	0.7732879829668471	0.9696714713541666	32.87739769500331
6	1.92	254.92858476412735	242.12421141601058	-0.04979073921174362	0.06414101161321285	0.7680359200785765	0.96970994140625	32.75770379201276
7	1.88	257.5825937656276	243.88467851992112	-0.050309100344849145	0.0673858735194405	0.7624708929274311	0.96969615234375	33.44848221601569
8	1.84	260.3824304050675	246.65070647852878	-0.050855943438489745	0.07114538945694655	0.7566891457332224	0.9697018587239583	32.23376054799883
9	1.8	263.3832105350892	251.1950866752949	-0.0514420333076346	0.07571225365164898	0.7505773070124413	0.9696828125	32.50920320098521
10	1.76	266.64537422903817	253.21888466992095	-0.052079174654109016	0.07983085842602973	0.7440881127638796	0.9697150227864584	32.37456294498406
11	1.72	269.92345724287384	255.78953710564807	-0.052719425242748794	0.08443566449085128	0.7374559470406628	0.96970427734375	32.83579963599914
12	1.68	273.55597599599935	259.32002554768184	-0.05342890156171862	0.08972584057855303	0.7302803842062873	0.9696952734375	33.09061082699918
13	1.64	277.3469244874146	263.65466590378276	-0.054169321188948155	0.09572994485115366	0.7227987185400929	0.969697841796875	32.71597432097769
14	1.6	281.36068344724123	269.11126434370163	-0.054953258485789296	0.10265780042408051	0.7149281023022647	0.9696912858072917	34.181733146018814
15	1.56	285.69785297549595	273.0693439483788	-0.05580036190927655	0.10957810700180336	0.7065901300726363	0.9697028287760416	34.80300472700037
16	1.52	290.31572262043676	275.40263961367566	-0.05670228957430405	0.11640750097287489	0.6977427494028692	0.9697032682291666	33.63194125102018
17	1.48	295.2825870978496	281.8296094429474	-0.05767238029254876	0.1256502136466528	0.6883814038279699	0.9697020475260417	34.404919366003014
18	1.44	300.6020403400567	286.48266828242004	-0.05871133600391732	0.1349190927587533	0.6785058937207201	0.9696887825520834	32.60692426300375
19	1.4	306.3104684114019	292.6030159332829	-0.059826263361601933	0.1457883330343605	0.6679465936530777	0.9696920182291666	32.62655343199731
20	1.36	312.6130088348058	298.6663005151745	-0.06105722828804801	0.1576915598490755	0.6566779797133226	0.9696968489583333	35.61048570802086
21	1.32	319.3168628104684	306.92269847609487	-0.06236657476766961	0.17202088942295762	0.6447337355684439	0.9697095182291666	33.6605735750054
22	1.28	326.7658009668278	315.0475145401491	-0.06382144550133355	0.187782951915353	0.6318470445885549	0.9697079817708333	33.60489325699746
23	1.24	334.743777296216	330.4212577440353	-0.06537964400316719	0.20985757642797834	0.618145028149781	0.9697051985677083	33.55007069700514
24	1.2	343.6030305050842	362.4430919995695	-0.06710996689552426	0.24579745279918724	0.6034025245841059	0.9696729166666667	33.85885790598695
25	1.16	353.4506851141857	580.7258477553227	-0.06903333693636439	0.4214588924632561	0.5875139018045001	0.969700791015625	32.82147260999773
26	1.12	364.4205067511252	734.1845643039634	-0.07117588022482914	0.5715697652886552	0.5703450110165795	0.9697061653645833	32.07264970699907
27	1.08	376.7861976996166	1329.5771857258758	-0.07359105423820636	1.1131817733499874	0.5517268093816348	0.96972955078125	33.08201919400017
28	1.04	390.3990131688615	1316.948926514079	-0.07624980725954325	1.1890559689801268	0.531730325096991	0.9696930826822917	33.052529300010065
29	1.0	406.1410068344724	1814.6632942688314	-0.07932441539735789	1.7721321233094056	0.5097780354837863	0.9696878548177084	33.25640305801062
30	0.96	424.4930288381397	2635.686370806136	-0.08290879469494916	2.79287377548868	0.48561292066114364	0.9696928645833334	33.52272673801053
31	0.92	446.27278213035504	4612.409507228912	-0.08716265275983497	5.321722778122914	0.45903465717329595	0.9697099446614583	34.20192880302784
32	0.88	471.88719786631106	6952.702131487937	-0.09216546833326388	8.767753325518063	0.4298887486813773	0.969692099609375	34.29680982301943
33	0.84	502.55181196866147	7716.73374325786	-0.09815465077512919	10.680091831278705	0.3972269923297597	0.969710615234375	33.10165239998605
34	0.8	544.6874112352059	16715.825425453655	-0.10638426000687615	25.506325417257163	0.36008443338374874	0.9696993815104167	32.140233558020554
35	0.76	597.8792465410902	22293.274733487975	-0.11677329034005668	37.691786888715114	0.3178873012687336	0.9696959440104167	31.997358530992642
36	0.72	691.6747857976329	59777.58571096845	-0.1350927316011002	112.60908284310887	0.265180212542325	0.9696941145833333	20.919433340022806
37	0.72	716.8422037006168	102703.2312263489	-0.14000824291027672	193.47246189136064	0.26138321627393957	0.9696882779947916	20.180055710981833
38	0.56	2559.6319586597765	3.451290029296615	-0.49992811692573763	0.010747450316438058	5.508716452785407e-06	0.9696990071614583	19.731212059006793
39	0.4	2560.0	0.0	-0.5	0.0	0.0	0.969684462890625	19.532516090985155
40	0.24	2560.0	0.0	-0.5	0.0	0.0	0.96968607421875	19.655223339999793
41	0.08	2560.0	0.0	-0.5	0.0	0.0	0.9696976497395833	19.076702768012183
