temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12	q_13	G_13	q_14	G_14	q_15	G_15	q_16	G_16	q_17	G_17	q_18	G_18
0	11.2	0.7	0.001949317738791423	nan	6.850482895970345e-05	0.035074472427368164	0.0019	-4.93177387914229e-05	0.0015	-0.00044931773879142286	0.0017	-0.000249317738791423	0.0023	0.00035068226120857707	0.0015	-0.00044931773879142286	0.002	5.068226120857715e-05	0.0022	0.00025068226120857724	0.0022	0.00025068226120857724	0.0019	-4.93177387914229e-05	0.0021	0.00015068226120857698	0.0022	0.00025068226120857724	0.0017	-0.000249317738791423	0.0009	-0.001049317738791423	0.0021	0.00015068226120857698	0.0018	-0.00014931773879142294	0.0028	0.0008506822612085771	0.0022	0.00025068226120857724	0.0017	-0.000249317738791423
1	8.8	0.55	0.001949317738791423	nan	6.902799941599369e-05	0.03534233570098877	0.0029	0.0009506822612085769	0.0026	0.000650682261208577	0.0026	0.000650682261208577	0.0016	-0.0003493177387914228	0.0014	-0.0005493177387914229	0.002	5.068226120857715e-05	0.002	5.068226120857715e-05	0.0017	-0.000249317738791423	0.0014	-0.0005493177387914229	0.0024	0.0004506822612085769	0.0022	0.00025068226120857724	0.0019	-4.93177387914229e-05	0.0017	-0.000249317738791423	0.002	5.068226120857715e-05	0.002	5.068226120857715e-05	0.0018	-0.00014931773879142294	0.0019	-4.93177387914229e-05	0.0019	-4.93177387914229e-05
2	6.4	0.4	0.001949317738791423	nan	6.821122951805592e-05	0.03492414951324463	0.0025	0.0005506822612085772	0.0024	0.0004506822612085769	0.0013	-0.000649317738791423	0.0018	-0.00014931773879142294	0.0015	-0.00044931773879142286	0.0019	-4.93177387914229e-05	0.0022	0.00025068226120857724	0.0027	0.0007506822612085772	0.0021	0.00015068226120857698	0.0021	0.00015068226120857698	0.0016	-0.0003493177387914228	0.0019	-4.93177387914229e-05	0.0018	-0.00014931773879142294	0.0021	0.00015068226120857698	0.0013	-0.000649317738791423	0.0023	0.00035068226120857707	0.0026	0.000650682261208577	0.0028	0.0008506822612085771
3	4.8	0.3	0.001949317738791423	nan	6.884336471557617e-05	0.035247802734375	0.0021	0.00015068226120857698	0.0019	-4.93177387914229e-05	0.0014	-0.0005493177387914229	0.0028	0.0008506822612085771	0.0023	0.00035068226120857707	0.0018	-0.00014931773879142294	0.0015	-0.00044931773879142286	0.0021	0.00015068226120857698	0.0017	-0.000249317738791423	0.0021	0.00015068226120857698	0.0016	-0.0003493177387914228	0.0019	-4.93177387914229e-05	0.0021	0.00015068226120857698	0.0023	0.00035068226120857707	0.0022	0.00025068226120857724	0.0014	-0.0005493177387914229	0.0018	-0.00014931773879142294	0.0014	-0.0005493177387914229
4	4.0	0.25	0.001949317738791423	nan	6.845616735517979e-05	0.03504955768585205	0.0027	0.0007506822612085772	0.0017	-0.000249317738791423	0.0012	-0.000749317738791423	0.0013	-0.000649317738791423	0.002	5.068226120857715e-05	0.0022	0.00025068226120857724	0.0022	0.00025068226120857724	0.0021	0.00015068226120857698	0.0014	-0.0005493177387914229	0.0027	0.0007506822612085772	0.0017	-0.000249317738791423	0.0017	-0.000249317738791423	0.0013	-0.000649317738791423	0.0023	0.00035068226120857707	0.0019	-4.93177387914229e-05	0.0025	0.0005506822612085772	0.002	5.068226120857715e-05	0.0021	0.00015068226120857698
5	3.92	0.245	0.001949317738791423	nan	6.849621422588825e-05	0.035070061683654785	0.002	5.068226120857715e-05	0.0016	-0.0003493177387914228	0.0015	-0.00044931773879142286	0.0018	-0.00014931773879142294	0.0022	0.00025068226120857724	0.0014	-0.0005493177387914229	0.0016	-0.0003493177387914228	0.0018	-0.00014931773879142294	0.0023	0.00035068226120857707	0.0023	0.00035068226120857707	0.002	5.068226120857715e-05	0.002	5.068226120857715e-05	0.0012	-0.000749317738791423	0.0013	-0.000649317738791423	0.0031	0.001150682261208577	0.0025	0.0005506822612085772	0.0011	-0.0008493177387914228	0.0022	0.00025068226120857724
6	3.84	0.24	0.001949317738791423	nan	6.683287210762501e-05	0.034218430519104004	0.0026	0.000650682261208577	0.0015	-0.00044931773879142286	0.0021	0.00015068226120857698	0.0016	-0.0003493177387914228	0.0018	-0.00014931773879142294	0.0019	-4.93177387914229e-05	0.0024	0.0004506822612085769	0.002	5.068226120857715e-05	0.0016	-0.0003493177387914228	0.0013	-0.000649317738791423	0.0017	-0.000249317738791423	0.0022	0.00025068226120857724	0.0021	0.00015068226120857698	0.0023	0.00035068226120857707	0.0018	-0.00014931773879142294	0.0016	-0.0003493177387914228	0.0024	0.0004506822612085769	0.0023	0.00035068226120857707
7	3.76	0.235	0.001949317738791423	nan	7.139076478779316e-05	0.0365520715713501	0.0023	0.00035068226120857707	0.002	5.068226120857715e-05	0.0021	0.00015068226120857698	0.0023	0.00035068226120857707	0.0026	0.000650682261208577	0.0019	-4.93177387914229e-05	0.0021	0.00015068226120857698	0.0012	-0.000749317738791423	0.0022	0.00025068226120857724	0.0027	0.0007506822612085772	0.0014	-0.0005493177387914229	0.0022	0.00025068226120857724	0.0018	-0.00014931773879142294	0.0012	-0.000749317738791423	0.0018	-0.00014931773879142294	0.0016	-0.0003493177387914228	0.0028	0.0008506822612085771	0.0021	0.00015068226120857698
8	3.68	0.23	0.001949317738791423	nan	6.736139766871929e-05	0.03448903560638428	0.0023	0.00035068226120857707	0.0017	-0.000249317738791423	0.0025	0.0005506822612085772	0.0022	0.00025068226120857724	0.0021	0.00015068226120857698	0.0024	0.0004506822612085769	0.0021	0.00015068226120857698	0.0017	-0.000249317738791423	0.0022	0.00025068226120857724	0.0019	-4.93177387914229e-05	0.0016	-0.0003493177387914228	0.0029	0.0009506822612085769	0.0016	-0.0003493177387914228	0.002	5.068226120857715e-05	0.0017	-0.000249317738791423	0.0021	0.00015068226120857698	0.0018	-0.00014931773879142294	0.0013	-0.000649317738791423
9	3.6	0.225	0.001949317738791423	nan	7.023697253316641e-05	0.0359613299369812	0.0028	0.0008506822612085771	0.002	5.068226120857715e-05	0.0025	0.0005506822612085772	0.0016	-0.0003493177387914228	0.0018	-0.00014931773879142294	0.0017	-0.000249317738791423	0.0014	-0.0005493177387914229	0.0024	0.0004506822612085769	0.0027	0.0007506822612085772	0.0019	-4.93177387914229e-05	0.0018	-0.00014931773879142294	0.003	0.0010506822612085772	0.002	5.068226120857715e-05	0.0014	-0.0005493177387914229	0.0014	-0.0005493177387914229	0.0024	0.0004506822612085769	0.0015	-0.00044931773879142286	0.0017	-0.000249317738791423
10	3.52	0.22	0.001949317738791423	nan	6.892404053360224e-05	0.035289108753204346	0.002	5.068226120857715e-05	0.0017	-0.000249317738791423	0.0024	0.0004506822612085769	0.0015	-0.00044931773879142286	0.0021	0.00015068226120857698	0.0021	0.00015068226120857698	0.0024	0.0004506822612085769	0.0014	-0.0005493177387914229	0.0023	0.00035068226120857707	0.0011	-0.0008493177387914228	0.002	5.068226120857715e-05	0.0017	-0.000249317738791423	0.0013	-0.000649317738791423	0.0016	-0.0003493177387914228	0.002	5.068226120857715e-05	0.0022	0.00025068226120857724	0.0018	-0.00014931773879142294	0.0023	0.00035068226120857707
11	3.44	0.215	0.001949317738791423	nan	7.036840543150902e-05	0.03602862358093262	0.0026	0.000650682261208577	0.0019	-4.93177387914229e-05	0.0016	-0.0003493177387914228	0.0022	0.00025068226120857724	0.0019	-4.93177387914229e-05	0.0023	0.00035068226120857707	0.0018	-0.00014931773879142294	0.0028	0.0008506822612085771	0.0025	0.0005506822612085772	0.002	5.068226120857715e-05	0.0023	0.00035068226120857707	0.0012	-0.000749317738791423	0.0019	-4.93177387914229e-05	0.0016	-0.0003493177387914228	0.0016	-0.0003493177387914228	0.0013	-0.000649317738791423	0.0022	0.00025068226120857724	0.002	5.068226120857715e-05
12	3.36	0.21	0.001949317738791423	nan	6.844429299235344e-05	0.03504347801208496	0.0024	0.0004506822612085769	0.0026	0.000650682261208577	0.0018	-0.00014931773879142294	0.0023	0.00035068226120857707	0.0014	-0.0005493177387914229	0.0019	-4.93177387914229e-05	0.002	5.068226120857715e-05	0.0019	-4.93177387914229e-05	0.0033	0.001350682261208577	0.002	5.068226120857715e-05	0.0024	0.0004506822612085769	0.0026	0.000650682261208577	0.002	5.068226120857715e-05	0.0019	-4.93177387914229e-05	0.003	0.0010506822612085772	0.003	0.0010506822612085772	0.0024	0.0004506822612085769	0.0018	-0.00014931773879142294
